"stat_month","storeid","store_type","total_sales_qty","total_begin_qty","total_end_qty","avg_inventory_qty","turnover_ratio"
"2023-02-01","16920",社区店,51769.8780,25990.9980,36990.5268,31490.76240000,1.64397029
"2023-02-01","16921",社区店,22271.9760,25484.2800,26253.7040,25868.99200000,0.86095260
"2023-02-01","16922",社区店,57508.1388,58478.2000,60766.4354,59622.31770000,0.96454047
"2023-02-01","16924",社区店,47967.9168,46354.8074,47133.5546,46744.18100000,1.02617942
"2023-02-01","16928",社区店,17596.4900,26124.0000,27049.4800,26586.74000000,0.66185211
"2023-02-01","16930",社区店,117581.0000,76517.5000,88472.0400,82494.77000000,1.42531459
"2023-02-01","16933",院外店,37114.9616,52835.5080,42674.6056,47755.05680000,0.77719437
"2023-02-01","170559",社区店,7844.0840,45252.0540,55385.7100,50318.88200000,0.15588748
"2023-02-01","175268",院外店,5715.2400,40420.9400,18112.9000,29266.92000000,0.19527985
"2023-02-01","176166",院外店,12251.6120,41604.0280,46951.1960,44277.61200000,0.27669992
"2023-02-01","177278",院外店,17845.0000,41231.6000,34619.1000,37925.35000000,0.47052960
"2023-02-01","178668",社区店,15839.8332,19920.7340,21612.1950,20766.46450000,0.76276022
"2023-02-01","179249",社区店,9245.7760,14389.6280,19895.3720,17142.50000000,0.53934816
"2023-02-01","181624",社区店,9627.1880,19724.2080,22298.4200,21011.31400000,0.45819066
"2023-02-01","182399",社区店,6959.6726,20418.2680,23201.4154,21809.84170000,0.31910697
"2023-02-01","182985",社区店,6246.2400,15220.0000,17589.2400,16404.62000000,0.38076102
"2023-02-01","183039",社区店,17963.7192,72173.8620,88690.0560,80431.95900000,0.22334056
"2023-02-01","184054",社区店,18039.7281,49449.4800,50577.3819,50013.43095000,0.36069767
"2023-02-01","189606",社区店,20627.2060,56251.3680,64580.2680,60415.81800000,0.34142061
"2023-02-01","190106",院外店,7212.0000,30270.0000,32214.0000,31242.00000000,0.23084309
"2023-02-01","190375",社区店,42006.9228,69982.6200,84117.9072,77050.26360000,0.54518856
"2023-02-01","191398",社区店,15268.3960,24635.1816,28355.8372,26495.50940000,0.57626353
"2023-02-01","192925",社区店,85175.1356,45996.9080,45856.7000,45926.80400000,1.85458442
"2023-02-01","193138",社区店,5579.0504,19558.0360,20398.7934,19978.41470000,0.27925390
"2023-02-01","193416",社区店,7139.4780,29659.9020,37958.0040,33808.95300000,0.21117122
"2023-02-01","198166",院外店,7608.6540,43202.6760,37880.0220,40541.34900000,0.18767638
"2023-02-01","198757",院外店,18914.1640,34874.5440,37509.9400,36192.24200000,0.52260271
"2023-02-01","199489",院外店,1161.4500,7025.1000,6225.6500,6625.37500000,0.17530328
"2023-02-01","199507",社区店,77747.7356,44092.3476,48615.5320,46353.93980000,1.67726272
"2023-02-01","201010",社区店,6026.0200,13625.4760,18873.1760,16249.32600000,0.37084738
"2023-02-01","201113",社区店,27610.0016,37761.8680,40004.1960,38883.03200000,0.71007841
"2023-02-01","202020",社区店,109740.9000,46317.9000,66432.0000,56374.95000000,1.94662522
"2023-02-01","206516",社区店,16656.9480,56684.8320,56611.4840,56648.15800000,0.29404218
"2023-02-01","206688",社区店,5374.4746,11782.6946,13778.2200,12780.45730000,0.42052287
"2023-02-01","206718",社区店,2831.0500,12358.0900,12903.0800,12630.58500000,0.22414242
"2023-02-01","207313",社区店,6428.0000,15439.0000,18167.0000,16803.00000000,0.38255073
"2023-02-01","207321",社区店,6455.8840,13922.5306,18542.6766,16232.60360000,0.39771093
"2023-02-01","208556",社区店,37402.6800,41509.6400,50348.4690,45929.05450000,0.81435771
"2023-02-01","208696",社区店,13969.4526,39607.4758,38414.1828,39010.82930000,0.35809165
"2023-02-01","209415",社区店,3996.5000,12289.3600,22653.3600,17471.36000000,0.22874578
"2023-02-01","32797",院外店,9511.0320,15803.2920,20944.2600,18373.77600000,0.51764166
"2023-02-01","32821",院外店,16818.0840,43601.9474,49346.3634,46474.15540000,0.36188035
"2023-02-01","38696",社区店,39563.6130,75914.0420,85232.8330,80573.43750000,0.49102550
"2023-02-01","40505",社区店,60152.9210,46338.5180,42679.0610,44508.78950000,1.35148409
"2023-02-01","54878",社区店,20059.4964,32425.9800,33345.5524,32885.76620000,0.60997503
"2023-02-01","58158",社区店,195828.0120,232741.2760,114452.3640,173596.82000000,1.12806220
"2023-02-01","58700",社区店,32572.1712,43603.8880,56119.6792,49861.78360000,0.65324921
"2023-02-01","58722",社区店,10228.5080,21488.9000,24971.7920,23230.34600000,0.44030803
"2023-02-01","61216",非药品老店,8216.0000,6992.0000,7172.0000,7082.00000000,1.16012425
"2023-02-01","64079",非药品老店,,21500.0000,360.0000,10930.00000000,
"2023-02-01","64746",社区店,15083.3220,35112.8520,38570.6100,36841.73100000,0.40940861
"2023-02-01","68602",社区店,11148.5760,21826.8480,27925.0078,24875.92790000,0.44816724
"2023-02-01","74123",社区店,99172.4920,31067.7280,35848.8360,33458.28200000,2.96406408
"2023-02-01","79639",院外店,17192.4840,55773.2840,57673.6200,56723.45200000,0.30309304
"2023-02-01","97356",社区店,45142.2000,33923.4900,42360.4920,38141.99100000,1.18353024
"2023-02-01","97376",院外店,10187.2760,15773.6160,26650.7400,21212.17800000,0.48025601
"2023-02-01","98536",社区店,14601.0000,20118.0000,18536.0000,19327.00000000,0.75547162
"2023-03-01","109760",院外店,38161.7925,63361.0056,141902.5731,102631.78935000,0.37183208
"2023-03-01","128540",院外店,23608.4720,48959.1560,41116.1840,45037.67000000,0.52419390
"2023-03-01","130091",社区店,19640.0000,18146.0000,32168.0000,25157.00000000,0.78069722
"2023-03-01","154849",社区店,45251.1172,50260.5128,109320.4212,79790.46700000,0.56712435
"2023-03-01","163093",社区店,41433.0120,149151.9140,145269.8220,147210.86800000,0.28145348
"2023-03-01","165872",院外店,12010.0000,42864.0000,23800.0000,33332.00000000,0.36031441
"2023-03-01","16864",社区店,52584.5700,33390.4720,35071.1304,34230.80120000,1.53617701
"2023-03-01","16865",社区店,57992.0000,58559.0800,54240.3376,56399.70880000,1.02823225
"2023-03-01","16866",社区店,38907.6298,149046.6674,146784.5618,147915.61460000,0.26303936
"2023-03-01","16867",社区店,18182.7800,14865.2602,26756.8802,20811.07020000,0.87370710
"2023-03-01","16869",院外店,87804.8400,206713.7600,196847.7200,201780.74000000,0.43514975
"2023-03-01","16870",社区店,98573.6800,170640.2088,143615.8888,157128.04880000,0.62734617
"2023-03-01","16874",社区店,16219.8400,19812.4400,30669.8558,25241.14790000,0.64259518
"2023-03-01","16875",社区店,21958.8864,17531.0320,37599.7834,27565.40770000,0.79661025
"2023-03-01","16876",社区店,31940.3936,54984.9726,44990.1830,49987.57780000,0.63896661
"2023-03-01","16877",社区店,36937.3272,48697.4796,71784.2724,60240.87600000,0.61316052
"2023-03-01","16879",社区店,41064.6000,33316.2000,33381.5200,33348.86000000,1.23136443
"2023-03-01","16880",社区店,44868.3390,102719.4040,49150.3932,75934.89860000,0.59087902
"2023-03-01","16881",社区店,23425.3740,28906.2534,31149.5274,30027.89040000,0.78012053
"2023-03-01","16883",院外店,86462.6200,362356.6364,372202.1164,367279.37640000,0.23541376
"2023-03-01","16884",院外店,26030.1369,80025.2883,60389.0739,70207.18110000,0.37076174
"2023-03-01","16885",社区店,47209.1094,53906.7462,36849.2452,45377.99570000,1.04035245
"2023-03-01","16887",社区店,40332.8580,91705.4280,104191.5600,97948.49400000,0.41177619
"2023-03-01","16890",社区店,44588.1954,32635.1840,57505.5624,45070.37320000,0.98930166
"2023-03-01","16892",院外店,6425.3600,8410.7800,9158.6600,8784.72000000,0.73142456
"2023-03-01","16893",社区店,98680.1360,36559.7460,48344.9532,42452.34960000,2.32449174
"2023-03-01","16894",社区店,9233.7970,26044.4268,31612.7954,28828.61110000,0.32029975
"2023-03-01","16895",社区店,9520.2320,9267.1000,9995.5040,9631.30200000,0.98846781
"2023-03-01","16896",社区店,18593.2000,24537.9000,71398.9000,47968.40000000,0.38761351
"2023-03-01","16898",社区店,55865.2540,21571.3380,28509.3080,25040.32300000,2.23101171
"2023-03-01","16899",社区店,39954.7500,61512.0000,89885.8500,75698.92500000,0.52781132
"2023-03-01","16900",社区店,24957.9992,24644.4134,68976.3540,46810.38370000,0.53317228
"2023-03-01","16901",社区店,37085.5020,22194.4400,47872.9320,35033.68600000,1.05856694
"2023-03-01","16902",社区店,29462.6600,39034.5800,93896.3200,66465.45000000,0.44327782
"2023-03-01","16903",社区店,19377.9729,16483.0860,58479.5610,37481.32350000,0.51700343
"2023-03-01","16904",社区店,28403.2094,35046.2000,30493.8906,32770.04530000,0.86674306
"2023-03-01","16906",社区店,28600.5518,27558.3680,25687.3232,26622.84560000,1.07428605
"2023-03-01","16907",社区店,143029.4356,50716.2976,44237.2270,47476.76230000,3.01261983
"2023-03-01","16908",社区店,70466.3640,61400.4560,49343.9120,55372.18400000,1.27259499
"2023-03-01","16910",社区店,85319.2886,43627.2842,61576.7144,52601.99930000,1.62197805
"2023-03-01","16911",社区店,30914.7000,25758.4890,49690.2489,37724.36895000,0.81948885
"2023-03-01","16913",社区店,65764.3587,106750.7190,75860.0103,91305.36465000,0.72026828
"2023-03-01","16914",社区店,98425.0776,44725.6856,36731.2010,40728.44330000,2.41661771
"2023-03-01","16917",社区店,72510.0000,23489.1000,30330.3000,26909.70000000,2.69456738
"2023-03-01","16918",社区店,22014.0756,46482.2700,52779.2444,49630.75720000,0.44355711
"2023-03-01","16919",社区店,15600.2000,17978.0000,25533.8000,21755.90000000,0.71705606
"2023-03-01","16920",社区店,52691.5170,38311.2060,40928.0430,39619.62450000,1.32993479
"2023-03-01","16921",社区店,21994.4560,22717.7040,38337.9080,30527.80600000,0.72047286
"2023-03-01","16922",社区店,35581.7922,53924.7600,63535.6064,58730.18320000,0.60585188
"2023-03-01","16924",社区店,45473.5046,41641.0926,52864.3648,47252.72870000,0.96234663
"2023-03-01","16928",社区店,23284.0244,23730.7200,31705.6476,27718.18380000,0.84002705
"2023-03-01","16930",社区店,98720.8228,84779.4000,142487.0772,113633.23860000,0.86876713
"2023-03-01","16933",院外店,40641.8640,38662.2704,42795.8064,40729.03840000,0.99785964
