"WAVEID","WAVEDTLID","PRINTDATE","SCATTERFINPACKS","WHOLEFINPACKS"
"4413637","9233132","2024/1/4 16:07:15","2","1"
"4413812","9233507","2024/1/4 16:08:23","1","0"
"4413586","9233049","2024/1/4 16:09:46","1","0"
"4413583","9233021","2024/1/4 16:10:46","1","0"
"4413811","9233506","2024/1/4 16:12:29","3","3"
"4413843","9233518","2024/1/4 16:15:29","1","10"
"4413576","9233001","2024/1/4 16:17:54","1","2"
"4413566","9232991","2024/1/4 16:18:25","1","0"
"4413577","9233002","2024/1/4 16:19:14","0","10"
"4413572","9232997","2024/1/4 16:19:57","1","0"
"4413578","9233003","2024/1/4 16:21:12","1","0"
"4413638","9233133","2024/1/4 16:25:31","2","2"
"4414207","9234054","2024/1/4 16:32:31","1","0"
"4414208","9234055","2024/1/4 16:34:17","1","0"
"4413810","9233485","2024/1/4 16:36:28","2","26"
"4414210","9234057","2024/1/4 16:37:21","0","2"
"4413585","9233045","2024/1/4 16:41:16","0","107"
"4413842","9233517","2024/1/4 16:55:38","1","0"
"4414411","9234385","2024/1/4 16:59:44","1","0"
"4413840","9233515","2024/1/4 17:07:54","0","1"
"4414209","9234056","2024/1/4 17:08:08","0","1"
"4414478","9234500","2024/1/4 17:08:17","1","0"
"4414620","9234707","2024/1/4 17:09:20","1","0"
"4414413","9234387","2024/1/4 17:14:34","0","2"
"4414611","9234698","2024/1/4 17:18:51","0","1"
"4414412","9234386","2024/1/4 17:20:26","0","1"
"4414617","9234704","2024/1/4 17:20:51","0","1"
"4414700","9234868","2024/1/4 17:21:05","0","1"
"4414484","9234506","2024/1/4 17:21:19","0","3"
"4414702","9234870","2024/1/4 17:23:28","0","1"
"4414479","9234501","2024/1/4 17:24:17","0","2"
"4414351","9234276","2024/1/4 17:26:49","0","1"
"4414605","9234685","2024/1/4 17:30:42","1","2"
"4414614","9234701","2024/1/4 17:32:50","1","0"
"4414803","9235067","2024/1/4 17:38:10","1","0"
"4414608","9234695","2024/1/4 17:39:10","1","0"
"4414804","9235068","2024/1/4 17:39:46","1","0"
"4414805","9235069","2024/1/4 17:41:19","1","0"
"4414809","9235073","2024/1/4 17:41:44","1","0"
"4414807","9235071","2024/1/4 17:43:39","1","0"
"4414846","9235155","2024/1/4 17:59:07","8","0"
"4414703","9234871","2024/1/4 18:00:17","2","0"
"4414846","9235154","2024/1/4 18:06:21","1","0"
"4414704","9234872","2024/1/4 19:04:11","0","6"
"4415263","9236039","2024/1/5 9:18:48","0","5"
"4415261","9236037","2024/1/5 9:29:57","0","9"
"4415262","9236038","2024/1/5 9:30:23","0","8"
"4415334","9236152","2024/1/5 9:38:41","1","0"
"4415264","9236040","2024/1/5 9:45:51","1","0"
"4415329","9236147","2024/1/5 9:45:53","0","3"
"4415330","9236148","2024/1/5 9:45:56","0","1"
"4415331","9236149","2024/1/5 9:45:58","1","0"
"4415332","9236150","2024/1/5 9:46:01","1","0"
"4415333","9236151","2024/1/5 9:46:03","1","0"
"4415458","9236374","2024/1/5 9:46:08","1","0"
"4415459","9236375","2024/1/5 9:46:10","1","0"
"4415545","9236487","2024/1/5 9:46:47","0","1"
"4415546","9236488","2024/1/5 9:53:55","0","2"
"4415586","9236568","2024/1/5 10:01:51","0","20"
"4415659","9236739","2024/1/5 10:02:16","0","15"
"4415525","9236460","2024/1/5 10:14:00","0","10"
"4415797","9236956","2024/1/5 10:26:34","0","2"
"4415587","9236569","2024/1/5 10:39:09","1","0"
"4415660","9236740","2024/1/5 10:44:37","1","0"
"4415916","9237156","2024/1/5 10:45:49","0","2"
"4415795","9236954","2024/1/5 10:46:03","1","7"
"4415796","9236955","2024/1/5 10:46:40","1","0"
"4415802","9236961","2024/1/5 10:49:14","1","0"
"4415798","9236957","2024/1/5 10:51:00","1","0"
"4415543","9236485","2024/1/5 10:52:12","4","10"
"4415801","9236960","2024/1/5 10:52:26","1","0"
"4415807","9236968","2024/1/5 10:54:48","2","0"
"4415804","9236964","2024/1/5 10:57:09","1","0"
"4415808","9236969","2024/1/5 10:59:08","1","0"
"4415809","9236970","2024/1/5 11:00:20","3","3"
"4415915","9237155","2024/1/5 11:07:53","1","0"
"4416202","9237709","2024/1/5 11:11:24","0","6"
"4416205","9237712","2024/1/5 11:15:20","0","1"
"4416204","9237711","2024/1/5 11:19:59","0","1"
"4416203","9237710","2024/1/5 11:20:47","0","1"
"4415918","9237158","2024/1/5 11:31:39","1","0"
"4416206","9237713","2024/1/5 11:33:49","1","0"
"4416215","9237725","2024/1/5 11:34:15","1","0"
"4416218","9237734","2024/1/5 11:37:45","1","0"
"4416217","9237733","2024/1/5 11:38:10","1","0"
"4416219","9237735","2024/1/5 11:40:19","0","4"
"4416466","9238092","2024/1/5 12:10:54","1","0"
"4416464","9238090","2024/1/5 12:18:35","1","1"
"4416599","9238326","2024/1/5 12:20:32","1","0"
"4416590","9238317","2024/1/5 12:21:08","1","0"
"4415800","9236959","2024/1/5 12:21:45","0","1"
"4416589","9238316","2024/1/5 12:22:44","1","0"
"4416616","9238352","2024/1/5 12:23:44","1","0"
"4416619","9238356","2024/1/5 12:24:32","1","0"
"4416458","9238084","2024/1/5 12:24:46","1","3"
