"waveid","wavedtlid","print_time","out_scatter_box_count","out_whole_qty"
4421111,9246335,"2024-01-08 16:29:05",1,0
4421079,9246296,"2024-01-08 16:31:38",1,0
4421111,9246334,"2024-01-08 16:41:10",1,0
4420823,9245867,"2024-01-08 16:44:34",1,0
4422555,9249237,"2024-01-08 16:50:17",1,0
4422079,9248135,"2024-01-08 16:56:07",1,0
4420832,9245879,"2024-01-08 16:57:54",2,0
4422555,9249234,"2024-01-08 16:59:40",1,0
4422555,9249238,"2024-01-08 16:59:55",1,0
4421072,9246281,"2024-01-08 17:01:07",2,0
4422555,9249235,"2024-01-08 17:01:22",1,0
4420823,9245865,"2024-01-09 11:58:44",3,0
4420839,9245887,"2024-01-09 11:58:47",1,0
4420841,9245890,"2024-01-09 11:58:50",1,0
4422372,9248705,"2024-01-09 11:58:54",1,0
4422372,9248707,"2024-01-09 11:58:57",1,0
4422372,9248709,"2024-01-09 11:59:00",4,0
4422372,9248710,"2024-01-09 11:59:03",1,0
4422372,9248712,"2024-01-09 11:59:06",1,0
4422407,9248793,"2024-01-09 11:59:10",1,0
4422407,9248794,"2024-01-09 11:59:13",1,0
4422407,9248795,"2024-01-09 11:59:16",1,0
4422407,9248796,"2024-01-09 11:59:20",1,0
4422814,9249919,"2024-01-09 11:59:23",1,1
4423680,9251794,"2024-01-09 11:59:26",1,0
4424371,9253082,"2024-01-09 11:59:40",1,0
4424390,9253114,"2024-01-09 11:59:44",1,0
4424515,9253282,"2024-01-09 11:59:47",1,0
4424940,9254200,"2024-01-09 12:01:00",1,0
4425128,9254647,"2024-01-09 12:01:03",1,0
4422372,9248701,"2024-01-09 14:26:55",3,4
4426046,9256341,"2024-01-09 15:05:58",1,0
4424971,9254270,"2024-01-09 16:29:37",1,0
4426309,9256829,"2024-01-09 16:36:55",1,0
4424971,9254269,"2024-01-09 16:39:50",2,0
4424971,9254271,"2024-01-09 16:43:59",1,0
4427460,9258963,"2024-01-09 17:03:32",1,0
4427446,9258945,"2024-01-09 17:11:17",2,0
4427446,9258946,"2024-01-09 17:12:40",1,0
4427446,9258947,"2024-01-09 17:13:18",1,0
4422372,9248700,"2024-01-10 12:23:26",1,0
4422372,9248702,"2024-01-10 12:23:29",2,0
4422372,9248703,"2024-01-10 12:23:33",1,0
4422372,9248704,"2024-01-10 12:23:36",2,0
4422372,9248706,"2024-01-10 12:23:39",2,1
4422372,9248708,"2024-01-10 12:23:43",1,0
4425007,9254350,"2024-01-10 12:23:46",1,6
4425007,9254351,"2024-01-10 12:23:50",2,0
4425007,9254352,"2024-01-10 12:23:53",1,0
4425007,9254353,"2024-01-10 12:23:56",2,0
4425007,9254354,"2024-01-10 12:24:00",1,0
4425007,9254355,"2024-01-10 12:24:03",2,0
4425007,9254357,"2024-01-10 12:24:06",3,0
4425007,9254358,"2024-01-10 12:24:09",1,0
4425007,9254363,"2024-01-10 12:24:13",2,0
4425007,9254364,"2024-01-10 12:24:16",1,0
4426296,9256797,"2024-01-10 12:24:19",1,0
